[Hz],FFT[dBm]
8.1176758E+04,-1.07325E+02
8.1481934E+04,-1.02525E+02
8.1787109E+04,-1.00925E+02
8.2092285E+04,-1.00585E+02
8.2397461E+04,-9.92654E+01
8.2702637E+04,-1.05805E+02
8.3007812E+04,-9.73254E+01
8.3312988E+04,-9.39654E+01
8.3618164E+04,-9.49454E+01
8.3923340E+04,-9.64054E+01
8.4228516E+04,-9.75054E+01
8.4533691E+04,-1.08025E+02
8.4838867E+04,-9.49254E+01
8.5144043E+04,-9.75854E+01
8.5449219E+04,-1.04845E+02
8.5754395E+04,-9.90454E+01
8.6059570E+04,-1.06665E+02
8.6364746E+04,-1.00645E+02
8.6669922E+04,-9.41454E+01
8.6975098E+04,-9.93454E+01
8.7280273E+04,-1.02905E+02
8.7585449E+04,-1.02705E+02
8.7890625E+04,-1.01165E+02
8.8195801E+04,-1.05145E+02
8.8500977E+04,-1.05705E+02
8.8806152E+04,-1.06385E+02
8.9111328E+04,-1.08485E+02
8.9416504E+04,-1.02625E+02
8.9721680E+04,-1.05005E+02
9.0026855E+04,-9.89454E+01
9.0332031E+04,-9.91854E+01
9.0637207E+04,-9.75654E+01
9.0942383E+04,-1.00085E+02
9.1247559E+04,-1.12425E+02
9.1552734E+04,-1.05185E+02
9.1857910E+04,-9.64854E+01
9.2163086E+04,-9.38854E+01
9.2468262E+04,-9.29654E+01
9.2773438E+04,-1.03765E+02
9.3078613E+04,-9.70854E+01
9.3383789E+04,-9.59854E+01
9.3688965E+04,-1.05085E+02
9.3994141E+04,-9.97054E+01
9.4299316E+04,-1.04005E+02
9.4604492E+04,-1.05245E+02
9.4909668E+04,-1.06165E+02
9.5214844E+04,-1.15665E+02
9.5520020E+04,-1.11685E+02
9.5825195E+04,-1.04505E+02
9.6130371E+04,-1.02085E+02
9.6435547E+04,-1.14085E+02
9.6740723E+04,-1.02745E+02
9.7045898E+04,-9.90454E+01
9.7351074E+04,-9.71854E+01
9.7656250E+04,-1.03545E+02
9.7961426E+04,-1.03505E+02
9.8266602E+04,-9.94454E+01
9.8571777E+04,-9.87654E+01
9.8876953E+04,-1.08685E+02
9.9182129E+04,-9.48654E+01
9.9487305E+04,-9.46654E+01
9.9792480E+04,-9.28654E+01
1.0009766E+05,-9.23054E+01
1.0040283E+05,-1.03125E+02
1.0070801E+05,-9.42254E+01
1.0101318E+05,-9.75254E+01
1.0131836E+05,-9.84454E+01
1.0162354E+05,-9.77454E+01
1.0192871E+05,-1.08825E+02
1.0223389E+05,-1.05125E+02
1.0253906E+05,-1.00985E+02
1.0284424E+05,-1.03885E+02
1.0314941E+05,-1.06425E+02
1.0345459E+05,-1.05785E+02
1.0375977E+05,-1.06585E+02
1.0406494E+05,-1.01205E+02
1.0437012E+05,-1.01665E+02
1.0467529E+05,-1.00265E+02
1.0498047E+05,-9.84654E+01
1.0528564E+05,-1.01005E+02
1.0559082E+05,-1.03225E+02
1.0589600E+05,-1.04945E+02
1.0620117E+05,-1.00065E+02
1.0650635E+05,-9.88454E+01
1.0681152E+05,-9.37654E+01
1.0711670E+05,-9.16454E+01
1.0742188E+05,-9.75054E+01
1.0772705E+05,-9.92054E+01
1.0803223E+05,-9.61254E+01
1.0833740E+05,-1.00745E+02
1.0864258E+05,-1.17165E+02
1.0894775E+05,-1.04685E+02
1.0925293E+05,-9.85454E+01
1.0955811E+05,-9.71454E+01
1.0986328E+05,-9.54054E+01
1.1016846E+05,-9.75054E+01
1.1047363E+05,-9.79654E+01
1.1077881E+05,-9.80254E+01
1.1108398E+05,-1.01625E+02
1.1138916E+05,-9.70054E+01
1.1169434E+05,-1.01285E+02
1.1199951E+05,-1.00045E+02
1.1230469E+05,-1.04085E+02
1.1260986E+05,-1.04485E+02
1.1291504E+05,-9.92454E+01
1.1322021E+05,-1.06785E+02
1.1352539E+05,-9.93854E+01
1.1383057E+05,-9.38454E+01
1.1413574E+05,-9.78854E+01
1.1444092E+05,-9.86054E+01
1.1474609E+05,-9.90054E+01
1.1505127E+05,-1.04925E+02
1.1535645E+05,-1.01965E+02
1.1566162E+05,-9.62854E+01
1.1596680E+05,-9.42854E+01
1.1627197E+05,-9.74654E+01
1.1657715E+05,-9.87654E+01
1.1688232E+05,-9.80054E+01
1.1718750E+05,-9.52254E+01
1.1749268E+05,-9.98854E+01
1.1779785E+05,-1.00665E+02
1.1810303E+05,-9.47854E+01
1.1840820E+05,-9.22054E+01
1.1871338E+05,-9.58454E+01
1.1901855E+05,-1.03625E+02
1.1932373E+05,-1.03705E+02
1.1962891E+05,-1.02865E+02
1.1993408E+05,-1.08305E+02
1.2023926E+05,-1.10365E+02
1.2054443E+05,-1.02765E+02
1.2084961E+05,-1.03465E+02
1.2115479E+05,-1.07165E+02
1.2145996E+05,-1.08525E+02
1.2176514E+05,-1.04845E+02
1.2207031E+05,-9.66054E+01
1.2237549E+05,-1.01985E+02
1.2268066E+05,-1.02425E+02
1.2298584E+05,-1.02225E+02
1.2329102E+05,-1.03665E+02
1.2359619E+05,-9.54654E+01
1.2390137E+05,-9.40854E+01
1.2420654E+05,-1.04145E+02
1.2451172E+05,-1.00485E+02
1.2481689E+05,-8.90454E+01
1.2512207E+05,-8.29654E+01
1.2542725E+05,-8.62454E+01
1.2573242E+05,-1.01585E+02
1.2603760E+05,-1.04945E+02
1.2634277E+05,-1.08725E+02
1.2664795E+05,-9.42654E+01
1.2695312E+05,-9.23054E+01
1.2725830E+05,-9.94454E+01
1.2756348E+05,-1.03085E+02
1.2786865E+05,-1.00385E+02
1.2817383E+05,-9.85454E+01
1.2847900E+05,-9.65654E+01
1.2878418E+05,-9.72254E+01
1.2908936E+05,-9.62654E+01
1.2939453E+05,-9.53254E+01
1.2969971E+05,-1.11585E+02
1.3000488E+05,-9.74854E+01
1.3031006E+05,-1.02425E+02
1.3061523E+05,-1.04225E+02
1.3092041E+05,-9.83454E+01
1.3122559E+05,-9.45454E+01
1.3153076E+05,-9.96854E+01
1.3183594E+05,-1.04045E+02
1.3214111E+05,-9.94254E+01
1.3244629E+05,-1.00165E+02
1.3275146E+05,-1.11385E+02
1.3305664E+05,-9.72654E+01
1.3336182E+05,-1.02285E+02
1.3366699E+05,-1.06385E+02
1.3397217E+05,-1.00165E+02
1.3427734E+05,-1.10645E+02
1.3458252E+05,-9.65054E+01
1.3488770E+05,-9.60854E+01
1.3519287E+05,-9.19054E+01
1.3549805E+05,-9.07254E+01
1.3580322E+05,-9.62054E+01
1.3610840E+05,-1.04985E+02
1.3641357E+05,-1.00825E+02
1.3671875E+05,-9.92654E+01
1.3702393E+05,-9.88054E+01
1.3732910E+05,-9.83654E+01
1.3763428E+05,-1.00965E+02
1.3793945E+05,-9.51454E+01
1.3824463E+05,-9.33254E+01
1.3854980E+05,-9.89454E+01
1.3885498E+05,-1.08685E+02
1.3916016E+05,-1.07465E+02
1.3946533E+05,-9.89454E+01
1.3977051E+05,-1.01205E+02
1.4007568E+05,-1.15425E+02
1.4038086E+05,-1.22525E+02
1.4068604E+05,-9.73254E+01
1.4099121E+05,-9.56054E+01
1.4129639E+05,-9.85454E+01
1.4160156E+05,-9.98654E+01
1.4190674E+05,-1.00885E+02
1.4221191E+05,-1.03165E+02
1.4251709E+05,-9.96054E+01
1.4282227E+05,-9.69654E+01
1.4312744E+05,-9.94454E+01
1.4343262E+05,-1.00925E+02
1.4373779E+05,-9.88254E+01
1.4404297E+05,-9.73454E+01
1.4434814E+05,-9.70854E+01
1.4465332E+05,-9.76854E+01
1.4495850E+05,-1.00725E+02
1.4526367E+05,-1.01485E+02
1.4556885E+05,-9.99054E+01
1.4587402E+05,-1.00445E+02
1.4617920E+05,-9.78854E+01
1.4648438E+05,-9.40054E+01
1.4678955E+05,-9.46054E+01
1.4709473E+05,-9.85654E+01
1.4739990E+05,-1.13625E+02
1.4770508E+05,-1.02825E+02
1.4801025E+05,-9.57454E+01
1.4831543E+05,-9.85454E+01
1.4862061E+05,-9.99454E+01
1.4892578E+05,-1.08865E+02
1.4923096E+05,-9.56454E+01
1.4953613E+05,-9.18054E+01
1.4984131E+05,-9.37254E+01
1.5014648E+05,-9.85054E+01
1.5045166E+05,-9.61454E+01
1.5075684E+05,-9.97854E+01
1.5106201E+05,-9.64054E+01
1.5136719E+05,-9.70254E+01
1.5167236E+05,-1.18205E+02
1.5197754E+05,-9.67454E+01
1.5228271E+05,-1.03185E+02
1.5258789E+05,-1.03305E+02
1.5289307E+05,-1.03805E+02
1.5319824E+05,-1.05585E+02
1.5350342E+05,-9.97454E+01
1.5380859E+05,-1.02325E+02
1.5411377E+05,-1.06885E+02
1.5441895E+05,-1.01505E+02
1.5472412E+05,-1.14605E+02
1.5502930E+05,-1.00585E+02
1.5533447E+05,-9.70254E+01
1.5563965E+05,-1.12325E+02
1.5594482E+05,-1.06365E+02
1.5625000E+05,-1.05625E+02
1.5655518E+05,-1.04085E+02
1.5686035E+05,-9.94454E+01
1.5716553E+05,-9.65654E+01
1.5747070E+05,-9.60254E+01
1.5777588E+05,-9.75254E+01
