[s],CH1[V]
-1.3176E-04,3.68264E-02
-1.3174E-04,3.92264E-02
-1.3172E-04,4.18264E-02
-1.3170E-04,4.34264E-02
-1.3168E-04,4.48264E-02
-1.3166E-04,4.56264E-02
-1.3164E-04,4.72264E-02
-1.3162E-04,4.70264E-02
-1.3160E-04,4.74264E-02
-1.3158E-04,4.82264E-02
-1.3156E-04,4.72264E-02
-1.3154E-04,4.74264E-02
-1.3152E-04,4.64264E-02
-1.3150E-04,4.50264E-02
-1.3148E-04,4.40264E-02
-1.3146E-04,4.18264E-02
-1.3144E-04,4.02264E-02
-1.3142E-04,3.72264E-02
-1.3140E-04,3.60264E-02
-1.3138E-04,3.32264E-02
-1.3136E-04,2.94264E-02
-1.3134E-04,2.68264E-02
-1.3132E-04,2.36264E-02
-1.3130E-04,2.02264E-02
-1.3128E-04,1.70264E-02
-1.3126E-04,1.28264E-02
-1.3124E-04,9.82637E-03
-1.3122E-04,5.82637E-03
-1.3120E-04,1.62637E-03
-1.3118E-04,-2.17363E-03
-1.3116E-04,-6.57363E-03
-1.3114E-04,-9.97363E-03
-1.3112E-04,-1.35736E-02
-1.3110E-04,-1.69736E-02
-1.3108E-04,-2.09736E-02
-1.3106E-04,-2.45736E-02
-1.3104E-04,-2.77736E-02
-1.3102E-04,-3.11736E-02
-1.3100E-04,-3.41736E-02
-1.3098E-04,-3.69736E-02
-1.3096E-04,-3.89736E-02
-1.3094E-04,-4.13736E-02
-1.3092E-04,-4.39736E-02
-1.3090E-04,-4.59736E-02
-1.3088E-04,-4.71736E-02
-1.3086E-04,-4.79736E-02
-1.3084E-04,-4.93736E-02
-1.3082E-04,-5.05736E-02
-1.3080E-04,-5.03736E-02
-1.3078E-04,-5.01736E-02
-1.3076E-04,-5.01736E-02
-1.3074E-04,-4.95736E-02
-1.3072E-04,-4.91736E-02
-1.3070E-04,-4.79736E-02
-1.3068E-04,-4.61736E-02
-1.3066E-04,-4.49736E-02
-1.3064E-04,-4.27736E-02
-1.3062E-04,-4.03736E-02
-1.3060E-04,-3.81736E-02
-1.3058E-04,-3.51736E-02
-1.3056E-04,-3.23736E-02
-1.3054E-04,-2.97736E-02
-1.3052E-04,-2.61736E-02
-1.3050E-04,-2.27736E-02
-1.3048E-04,-1.89736E-02
-1.3046E-04,-1.49736E-02
-1.3044E-04,-1.11736E-02
-1.3042E-04,-8.17363E-03
-1.3040E-04,-3.97363E-03
-1.3038E-04,2.63692E-05
-1.3036E-04,4.22637E-03
-1.3034E-04,7.62637E-03
-1.3032E-04,1.18264E-02
-1.3030E-04,1.48264E-02
-1.3028E-04,1.88264E-02
-1.3026E-04,2.24264E-02
-1.3024E-04,2.56264E-02
-1.3022E-04,2.86264E-02
-1.3020E-04,3.20264E-02
-1.3018E-04,3.44264E-02
-1.3016E-04,3.70264E-02
-1.3014E-04,3.94264E-02
-1.3012E-04,4.18264E-02
-1.3010E-04,4.32264E-02
-1.3008E-04,4.48264E-02
-1.3006E-04,4.56264E-02
-1.3004E-04,4.66264E-02
-1.3002E-04,4.78264E-02
-1.3000E-04,4.82264E-02
-1.2998E-04,4.76264E-02
-1.2996E-04,4.76264E-02
-1.2994E-04,4.70264E-02
-1.2992E-04,4.66264E-02
-1.2990E-04,4.52264E-02
-1.2988E-04,4.40264E-02
-1.2986E-04,4.22264E-02
-1.2984E-04,4.02264E-02
-1.2982E-04,3.84264E-02
-1.2980E-04,3.56264E-02
-1.2978E-04,3.28264E-02
-1.2976E-04,3.02264E-02
-1.2974E-04,2.68264E-02
-1.2972E-04,2.36264E-02
-1.2970E-04,2.02264E-02
-1.2968E-04,1.70264E-02
-1.2966E-04,1.32264E-02
-1.2964E-04,9.22637E-03
-1.2962E-04,5.82637E-03
-1.2960E-04,1.42637E-03
-1.2958E-04,-2.37363E-03
-1.2956E-04,-5.57363E-03
-1.2954E-04,-9.77363E-03
-1.2952E-04,-1.33736E-02
-1.2950E-04,-1.69736E-02
-1.2948E-04,-2.05736E-02
-1.2946E-04,-2.41736E-02
-1.2944E-04,-2.77736E-02
-1.2942E-04,-3.17736E-02
-1.2940E-04,-3.39736E-02
-1.2938E-04,-3.67736E-02
-1.2936E-04,-3.91736E-02
-1.2934E-04,-4.17736E-02
-1.2932E-04,-4.35736E-02
-1.2930E-04,-4.53736E-02
-1.2928E-04,-4.69736E-02
-1.2926E-04,-4.85736E-02
-1.2924E-04,-4.89736E-02
-1.2922E-04,-5.03736E-02
-1.2920E-04,-4.97736E-02
-1.2918E-04,-4.97736E-02
-1.2916E-04,-4.99736E-02
-1.2914E-04,-4.95736E-02
-1.2912E-04,-4.89736E-02
-1.2910E-04,-4.73736E-02
-1.2908E-04,-4.61736E-02
-1.2906E-04,-4.47736E-02
-1.2904E-04,3.78264E-02
-1.2902E-04,3.78264E-02
-1.2900E-04,3.52264E-02
-1.2898E-04,3.28264E-02
-1.2896E-04,2.98264E-02
-1.2894E-04,2.68264E-02
-1.2892E-04,2.38264E-02
-1.2890E-04,1.98264E-02
-1.2888E-04,1.68264E-02
-1.2886E-04,1.28264E-02
-1.2884E-04,8.62637E-03
-1.2882E-04,5.22637E-03
-1.2880E-04,1.42637E-03
-1.2878E-04,-2.37363E-03
-1.2876E-04,-5.97363E-03
-1.2874E-04,-1.01736E-02
-1.2872E-04,-1.37736E-02
-1.2870E-04,-1.71736E-02
-1.2868E-04,-2.11736E-02
-1.2866E-04,-2.41736E-02
-1.2864E-04,-2.79736E-02
-1.2862E-04,-3.07736E-02
-1.2860E-04,-3.41736E-02
-1.2858E-04,-3.65736E-02
-1.2856E-04,-3.89736E-02
-1.2854E-04,-4.13736E-02
-1.2852E-04,-4.37736E-02
-1.2850E-04,-4.55736E-02
-1.2848E-04,-4.69736E-02
-1.2846E-04,-4.79736E-02
-1.2844E-04,-4.91736E-02
-1.2842E-04,-4.99736E-02
-1.2840E-04,-5.01736E-02
-1.2838E-04,-5.05736E-02
-1.2836E-04,-5.01736E-02
-1.2834E-04,-4.99736E-02
-1.2832E-04,-4.89736E-02
-1.2830E-04,-4.73736E-02
-1.2828E-04,-4.63736E-02
-1.2826E-04,-4.41736E-02
-1.2824E-04,-4.21736E-02
-1.2822E-04,-4.05736E-02
-1.2820E-04,-3.77736E-02
-1.2818E-04,-3.53736E-02
-1.2816E-04,-3.25736E-02
-1.2814E-04,-2.91736E-02
-1.2812E-04,-2.61736E-02
-1.2810E-04,-2.21736E-02
-1.2808E-04,-1.91736E-02
-1.2806E-04,-1.51736E-02
-1.2804E-04,-1.17736E-02
-1.2802E-04,-7.77363E-03
-1.2800E-04,-3.97363E-03
-1.2798E-04,-1.73631E-04
-1.2796E-04,3.82637E-03
-1.2794E-04,7.82637E-03
-1.2792E-04,1.14264E-02
-1.2790E-04,1.54264E-02
-1.2788E-04,1.90264E-02
-1.2786E-04,2.24264E-02
-1.2784E-04,2.54264E-02
-1.2782E-04,2.88264E-02
-1.2780E-04,3.20264E-02
-1.2778E-04,3.42264E-02
-1.2776E-04,3.72264E-02
-1.2774E-04,3.96264E-02
-1.2772E-04,4.14264E-02
-1.2770E-04,4.32264E-02
-1.2768E-04,4.50264E-02
-1.2766E-04,4.60264E-02
-1.2764E-04,4.68264E-02
-1.2762E-04,4.74264E-02
-1.2760E-04,4.82264E-02
-1.2758E-04,4.82264E-02
-1.2756E-04,4.78264E-02
-1.2754E-04,4.76264E-02
-1.2752E-04,4.66264E-02
-1.2750E-04,4.50264E-02
-1.2748E-04,4.40264E-02
-1.2746E-04,4.20264E-02
-1.2744E-04,4.02264E-02
-1.2742E-04,3.82264E-02
-1.2740E-04,3.58264E-02
-1.2738E-04,3.32264E-02
-1.2736E-04,3.02264E-02
-1.2734E-04,2.70264E-02
-1.2732E-04,2.34264E-02
-1.2730E-04,2.04264E-02
-1.2728E-04,1.66264E-02
-1.2726E-04,1.30264E-02
-1.2724E-04,9.42637E-03
-1.2722E-04,6.02637E-03
-1.2720E-04,1.62637E-03
-1.2718E-04,-2.17363E-03
-1.2716E-04,-5.97363E-03
-1.2714E-04,-1.01736E-02
-1.2712E-04,-1.37736E-02
-1.2710E-04,-1.73736E-02
-1.2708E-04,-2.13736E-02
-1.2706E-04,-2.45736E-02
-1.2704E-04,-2.77736E-02
-1.2702E-04,-3.11736E-02
-1.2700E-04,-3.41736E-02
-1.2698E-04,-3.67736E-02
-1.2696E-04,-3.93736E-02
-1.2694E-04,-4.13736E-02
-1.2692E-04,-4.39736E-02
-1.2690E-04,-4.53736E-02
-1.2688E-04,-4.71736E-02
-1.2686E-04,-4.83736E-02
-1.2684E-04,-4.93736E-02
-1.2682E-04,-4.99736E-02
-1.2680E-04,-5.01736E-02
-1.2678E-04,-5.01736E-02
-1.2676E-04,-5.01736E-02
-1.2674E-04,-4.97736E-02
-1.2672E-04,-4.87736E-02
-1.2670E-04,-4.73736E-02
-1.2668E-04,-4.61736E-02
-1.2666E-04,-4.43736E-02
-1.2664E-04,-4.23736E-02
-1.2662E-04,-4.05736E-02
-1.2660E-04,-3.79736E-02
-1.2658E-04,-3.53736E-02
-1.2656E-04,-3.21736E-02
-1.2654E-04,-2.91736E-02
-1.2652E-04,-2.57736E-02
-1.2650E-04,-2.21736E-02
-1.2648E-04,-1.89736E-02
-1.2646E-04,-1.51736E-02
-1.2644E-04,-1.11736E-02
-1.2642E-04,-7.57363E-03
-1.2640E-04,-4.17363E-03
-1.2638E-04,2.63692E-05
-1.2636E-04,3.22637E-03
-1.2634E-04,7.82637E-03
-1.2632E-04,1.18264E-02
-1.2630E-04,1.48264E-02
-1.2628E-04,1.86264E-02
-1.2626E-04,2.28264E-02
-1.2624E-04,2.54264E-02
-1.2622E-04,2.86264E-02
-1.2620E-04,3.10264E-02
-1.2618E-04,3.48264E-02
-1.2616E-04,3.76264E-02
-1.2614E-04,3.90264E-02
-1.2612E-04,4.14264E-02
-1.2610E-04,4.30264E-02
-1.2608E-04,4.48264E-02
-1.2606E-04,4.64264E-02
-1.2604E-04,4.72264E-02
-1.2602E-04,4.76264E-02
-1.2600E-04,4.82264E-02
-1.2598E-04,4.78264E-02
-1.2596E-04,4.82264E-02
-1.2594E-04,4.72264E-02
-1.2592E-04,4.64264E-02
-1.2590E-04,4.58264E-02
-1.2588E-04,4.42264E-02
-1.2586E-04,4.28264E-02
-1.2584E-04,4.02264E-02
-1.2582E-04,3.84264E-02
-1.2580E-04,3.54264E-02
-1.2578E-04,3.30264E-02
-1.2576E-04,3.06264E-02
-1.2574E-04,2.64264E-02
-1.2572E-04,2.36264E-02
-1.2570E-04,2.02264E-02
-1.2568E-04,1.66264E-02
-1.2566E-04,1.36264E-02
-1.2564E-04,9.02637E-03
-1.2562E-04,5.62637E-03
-1.2560E-04,1.62637E-03
-1.2558E-04,-2.17363E-03
-1.2556E-04,-6.37363E-03
-1.2554E-04,-9.77363E-03
-1.2552E-04,-1.35736E-02
-1.2550E-04,-1.73736E-02
-1.2548E-04,-2.07736E-02
-1.2546E-04,-2.45736E-02
-1.2544E-04,-2.79736E-02
-1.2542E-04,-3.09736E-02
-1.2540E-04,-3.41736E-02
-1.2538E-04,-3.69736E-02
-1.2536E-04,-3.91736E-02
-1.2534E-04,-4.19736E-02
-1.2532E-04,-4.33736E-02
-1.2530E-04,-4.53736E-02
-1.2528E-04,-4.65736E-02
-1.2526E-04,-4.85736E-02
-1.2524E-04,-4.93736E-02
-1.2522E-04,-4.95736E-02
-1.2520E-04,-5.01736E-02
-1.2518E-04,-5.03736E-02
-1.2516E-04,-5.01736E-02
-1.2514E-04,-4.95736E-02
-1.2512E-04,-4.87736E-02
-1.2510E-04,-4.73736E-02
-1.2508E-04,-4.61736E-02
-1.2506E-04,-4.45736E-02
-1.2504E-04,-4.21736E-02
-1.2502E-04,-4.03736E-02
-1.2500E-04,-3.77736E-02
-1.2498E-04,-3.49736E-02
-1.2496E-04,-3.21736E-02
-1.2494E-04,-2.91736E-02
-1.2492E-04,-2.57736E-02
-1.2490E-04,-2.17736E-02
-1.2488E-04,-1.81736E-02
-1.2486E-04,-1.49736E-02
-1.2484E-04,-1.17736E-02
-1.2482E-04,-7.77363E-03
-1.2480E-04,-3.57363E-03
-1.2478E-04,2.63692E-05
-1.2476E-04,4.42637E-03
-1.2474E-04,8.22637E-03
-1.2472E-04,1.16264E-02
-1.2470E-04,1.52264E-02
-1.2468E-04,1.88264E-02
-1.2466E-04,2.26264E-02
-1.2464E-04,2.58264E-02
-1.2462E-04,2.90264E-02
-1.2460E-04,3.20264E-02
-1.2458E-04,3.44264E-02
-1.2456E-04,3.70264E-02
-1.2454E-04,3.92264E-02
-1.2452E-04,4.10264E-02
-1.2450E-04,4.28264E-02
-1.2448E-04,4.54264E-02
-1.2446E-04,4.58264E-02
-1.2444E-04,4.66264E-02
-1.2442E-04,4.76264E-02
-1.2440E-04,4.74264E-02
-1.2438E-04,4.82264E-02
-1.2436E-04,4.82264E-02
-1.2434E-04,4.74264E-02
-1.2432E-04,4.62264E-02
-1.2430E-04,4.56264E-02
-1.2428E-04,4.42264E-02
-1.2426E-04,4.26264E-02
-1.2424E-04,4.02264E-02
-1.2422E-04,3.78264E-02
-1.2420E-04,3.58264E-02
-1.2418E-04,3.28264E-02
-1.2416E-04,3.06264E-02
-1.2414E-04,2.72264E-02
